,Movie_name,Ratings,Year,Rated_by,Director,Lead_hero,Co_star
99,Amélie,8.3,2001,"739,283",Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz
100,A Clockwork Orange,8.3,1971,"804,561",Stanley Kubrick,Malcolm McDowell,Patrick Magee
101,Full Metal Jacket,8.2,1987,"718,740",Stanley Kubrick,Matthew Modine,R. Lee Ermey
102,Scarface,8.2,1983,"803,979",Brian De Palma,Al Pacino,Michelle Pfeiffer
103,Come and See,8.2,1985,"73,389",Elem Klimov,Aleksey Kravchenko,Olga Mironova
104,Double Indemnity,8.2,1944,"153,390",Billy Wilder,Fred MacMurray,Barbara Stanwyck
105,The Apartment,8.2,1960,"176,946",Billy Wilder,Jack Lemmon,Shirley MacLaine
106,Taxi Driver,8.2,1976,"788,379",Martin Scorsese,Robert De Niro,Jodie Foster
107,To Kill a Mockingbird,8.2,1962,"310,031",Robert Mulligan,Gregory Peck,John Megna
108,The Sting,8.2,1973,"255,871",George Roy Hill,Paul Newman,Robert Redford
109,Up,8.2,2009,"1,005,810",Pete Docter,Edward Asner,Jordan Nagai
110,L.A. Confidential,8.2,1997,"567,538",Curtis Hanson,Kevin Spacey,Russell Crowe
111,Hamilton,8.2,2020,"84,513",Thomas Kail,Lin-Manuel Miranda,Phillipa Soo
112,Heat,8.2,1995,"628,598",Michael Mann,Al Pacino,Robert De Niro
113,The Batman,8.2,2022,"258,016",Matt Reeves,Robert Pattinson,Zoë Kravitz
114,Ikiru,8.2,1952,"76,131",Akira Kurosawa,Takashi Shimura,Nobuo Kaneko
115,Snatch,8.2,2000,"831,381",Guy Ritchie,Jason Statham,Brad Pitt
116,Die Hard,8.2,1988,"852,032",John McTiernan,Bruce Willis,Alan Rickman
117,Indiana Jones and the Last Crusade,8.2,1989,"733,787",Steven Spielberg,Harrison Ford,Sean Connery
118,A Separation,8.2,2011,"239,767",Asghar Farhadi,Payman Maadi,Leila Hatami
119,Metropolis,8.2,1927,"170,573",Fritz Lang,Brigitte Helm,Alfred Abel
120,Bicycle Thieves,8.2,1948,"159,726",Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola
121,Incendies,8.2,2010,"170,259",Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin
122,1917,8.2,2019,"538,990",Sam Mendes,Dean-Charles Chapman,George MacKay
123,Like Stars on Earth,8.2,2007,"186,961",Aamir Khan,Darsheel Safary,Aamir Khan
124,Batman Begins,8.2,2005,"1,409,807",Christopher Nolan,Christian Bale,Michael Caine
125,For a Few Dollars More,8.2,1965,"249,864",Sergio Leone,Clint Eastwood,Lee Van Cleef
126,Dangal,8.2,2016,"180,105",Nitesh Tiwari,Aamir Khan,Sakshi Tanwar
127,Downfall,8.2,2004,"348,418",Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara
128,The Kid,8.2,1921,"123,685",Charles Chaplin,Charles Chaplin,Edna Purviance
129,Some Like It Hot,8.2,1959,"260,553",Billy Wilder,Marilyn Monroe,Tony Curtis
130,The Father,8.2,2020,"128,955",Florian Zeller,Anthony Hopkins,Olivia Colman
131,All About Eve,8.2,1950,"128,758",Joseph L. Mankiewicz,Bette Davis,Anne Baxter
132,Green Book,8.2,2018,"455,931",Peter Farrelly,Viggo Mortensen,Mahershala Ali
133,The Wolf of Wall Street,8.2,2013,"1,325,557",Martin Scorsese,Leonardo DiCaprio,Jonah Hill
134,Unforgiven,8.2,1992,"401,431",Clint Eastwood,Clint Eastwood,Gene Hackman
135,Casino,8.2,1995,"502,241",Martin Scorsese,Robert De Niro,Sharon Stone
136,Judgment at Nuremberg,8.2,1961,"75,701",Stanley Kramer,Spencer Tracy,Burt Lancaster
137,Pan's Labyrinth,8.2,2006,"652,456",Guillermo del Toro,Ivana Baquero,Ariadna Gil
138,Ran,8.2,1985,"122,477",Akira Kurosawa,Tatsuya Nakadai,Akira Terao
139,A Beautiful Mind,8.2,2001,"903,796",Ron Howard,Russell Crowe,Ed Harris
140,The Sixth Sense,8.2,1999,"962,716",M. Night Shyamalan,Bruce Willis,Haley Joel Osment
141,Monty Python and the Holy Grail,8.2,1975,"528,454",Terry Gilliam,Graham Chapman,John Cleese
142,There Will Be Blood,8.2,2007,"564,467",Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano
143,The Truman Show,8.2,1998,"1,025,324",Peter Weir,Jim Carrey,Ed Harris
144,Yojimbo,8.2,1961,"120,104",Akira Kurosawa,Toshirô Mifune,Eijirô Tôno
145,The Treasure of the Sierra Madre,8.2,1948,"122,344",John Huston,Humphrey Bogart,Walter Huston
146,Shutter Island,8.2,2010,"1,245,258",Martin Scorsese,Leonardo DiCaprio,Emily Mortimer
147,The Great Escape,8.2,1963,"239,401",John Sturges,Steve McQueen,James Garner
148,Rashomon,8.1,1950,"164,414",Akira Kurosawa,Toshirô Mifune,Machiko Kyô
149,Jurassic Park,8.1,1993,"938,029",Steven Spielberg,Sam Neill,Laura Dern
150,Kill Bill: Vol. 1,8.1,2003,"1,075,927",Quentin Tarantino,Uma Thurman,David Carradine
151,Finding Nemo,8.1,2003,"1,009,920",Andrew Stanton,Albert Brooks,Ellen DeGeneres
152,No Country for Old Men,8.1,2007,"933,106",Ethan Coen,Tommy Lee Jones,Javier Bardem
153,Raging Bull,8.1,1980,"343,763",Martin Scorsese,Robert De Niro,Cathy Moriarty
154,The Elephant Man,8.1,1980,"235,479",David Lynch,Anthony Hopkins,John Hurt
155,V for Vendetta,8.1,2005,"1,092,552",James McTeigue,Hugo Weaving,Natalie Portman
156,Gone with the Wind,8.1,1939,"308,219",Victor Fleming,Clark Gable,Vivien Leigh
157,Chinatown,8.1,1974,"317,417",Roman Polanski,Jack Nicholson,Faye Dunaway
158,Inside Out,8.1,2015,"680,371",Pete Docter,Amy Poehler,Bill Hader
159,"Lock, Stock and Two Smoking Barrels",8.1,1998,"567,761",Guy Ritchie,Jason Flemyng,Dexter Fletcher
160,The Thing,8.1,1982,"406,070",John Carpenter,Kurt Russell,Wilford Brimley
161,Dial M for Murder,8.1,1954,"171,257",Alfred Hitchcock,Ray Milland,Grace Kelly
162,The Secret in Their Eyes,8.1,2009,"205,213",Juan José Campanella,Ricardo Darín,Soledad Villamil
163,Howl's Moving Castle,8.1,2004,"374,464",Hayao Miyazaki,Chieko Baishô,Takuya Kimura
164,The Bridge on the River Kwai,8.1,1957,"215,825",David Lean,William Holden,Alec Guinness
165,Trainspotting,8.1,1996,"669,981",Danny Boyle,Ewan McGregor,Ewen Bremner
166,"Three Billboards Outside Ebbing, Missouri",8.1,2017,"485,200",Martin McDonagh,Frances McDormand,Woody Harrelson
167,Warrior,8.1,2011,"460,494",Gavin O'Connor,Tom Hardy,Nick Nolte
168,Gran Torino,8.1,2008,"757,565",Clint Eastwood,Clint Eastwood,Bee Vang
169,Fargo,8.1,1996,"659,737",Joel Coen,William H. Macy,Frances McDormand
170,My Neighbor Totoro,8.1,1988,"323,911",Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka
171,Prisoners,8.1,2013,"670,361",Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal
172,Million Dollar Baby,8.1,2004,"671,510",Clint Eastwood,Hilary Swank,Clint Eastwood
173,Blade Runner,8.1,1982,"743,409",Ridley Scott,Harrison Ford,Rutger Hauer
174,The Gold Rush,8.1,1925,"109,067",Charles Chaplin,Charles Chaplin,Mack Swain
175,Catch Me If You Can,8.1,2002,"928,226",Steven Spielberg,Leonardo DiCaprio,Tom Hanks
